domain	subdomain	descriptive_name	historical_name	established_date	relation	scope
MUSIC	SEVENTH CHORDS	Major Triad with Major Seventh	Major Seventh Chord	unknown	scoped replacement	Seventh measured above the root; conventional symbol maj7.
MUSIC	SEVENTH CHORDS	Major Triad with Minor Seventh	Dominant Seventh Chord	unknown	scoped replacement	Chord-quality sense; seventh above root; symbol 7; function separate.
MUSIC	SEVENTH CHORDS	Minor Triad with Minor Seventh	Minor Seventh Chord	unknown	scoped replacement	Seventh above root; conventional symbol m7.
MUSIC	SEVENTH CHORDS	Minor Triad with Major Seventh	Minor-Major Seventh Chord	unknown	scoped replacement	Seventh above root; conventional symbol m(maj7).
MUSIC	SEVENTH CHORDS	Diminished Triad with Minor Seventh	Half-Diminished Seventh Chord	unknown	scoped replacement	Seventh above root; conventional symbol m7(b5).
MUSIC	SEVENTH CHORDS	Diminished Triad with Diminished Seventh	Fully Diminished Seventh Chord	unknown	scoped replacement	Seventh above root; conventional symbol dim7.
MUSIC	SEVENTH CHORDS	Augmented Triad with Minor Seventh	Augmented Seventh Chord	unknown	scoped replacement	Seventh above root; conventional symbol 7(#5).
MUSIC	SEVENTH CHORDS	Augmented Triad with Major Seventh	Augmented Major Seventh Chord	unknown	scoped replacement	Seventh above root; conventional symbol maj7(#5).
MUSIC	EXTENDED AND SUSPENDED CHORDS	Major Triad with Minor Seventh and Major Ninth	Dominant Ninth Chord	unknown	scoped replacement	Chord construction, not a requirement to voice every tone; symbol 9.
MUSIC	EXTENDED AND SUSPENDED CHORDS	Major Triad with Added Major Ninth	Added-Ninth Major Chord	unknown	scoped replacement	No seventh included by this construction; symbol add9.
MUSIC	EXTENDED AND SUSPENDED CHORDS	Major Triad with Major Seventh and Major Ninth	Major Ninth Chord	unknown	scoped replacement	Seventh and ninth above root; symbol maj9.
MUSIC	EXTENDED AND SUSPENDED CHORDS	Minor Triad with Minor Seventh and Major Ninth	Minor Ninth Chord	unknown	scoped replacement	Seventh and ninth above root; symbol m9.
MUSIC	EXTENDED AND SUSPENDED CHORDS	Root-Fourth-Fifth Chord	Suspended-Fourth Chord	unknown	scoped replacement	Static sus4 construction, with perfect fourth and fifth; does not assert temporal preparation or resolution.
MUSIC	EXTENDED AND SUSPENDED CHORDS	Root-Second-Fifth Chord	Suspended-Second Chord	unknown	scoped replacement	Static sus2 construction, with major second and perfect fifth.
MUSIC	SCALE DEGREES	Tonic-Relative First Degree	Tonic	unknown	scoped replacement	Scale-degree sense only; tonic as center or function is a separate use.
MUSIC	SCALE DEGREES	Tonic-Relative Second Degree	Supertonic	unknown	scoped replacement	Scale-degree sense; interval depends on mode or alteration.
MUSIC	SCALE DEGREES	Tonic-Relative Third Degree	Mediant	unknown	scoped replacement	Scale-degree sense only.
MUSIC	SCALE DEGREES	Tonic-Relative Fourth Degree	Subdominant	unknown	scoped replacement	Scale-degree sense, not every subdominant function.
MUSIC	SCALE DEGREES	Tonic-Relative Fifth Degree	Dominant	unknown	scoped replacement	Scale-degree sense, not every harmonic function or seventh-chord quality.
MUSIC	SCALE DEGREES	Tonic-Relative Sixth Degree	Submediant	unknown	scoped replacement	Scale-degree sense only.
MUSIC	SCALE DEGREES	Seventh Degree a Semitone Below Tonic	Leading Tone	unknown	scoped replacement	Standard tonal seventh-degree usage; behavior and chromatic leading tones need context.
MUSIC	SCALE DEGREES	Seventh Degree a Whole Tone Below Tonic	Subtonic	unknown	scoped replacement	Standard tonal seventh-degree usage.
MUSIC	INVERSIONS AND BASS	Root-in-Bass Position	Root Position	unknown	scoped replacement	Rooted tertian chord analysis.
MUSIC	INVERSIONS AND BASS	Third-in-Bass Inversion	First Inversion	unknown	scoped replacement	Rooted tertian triad or seventh chord.
